,business_id,category,stars,city,name,review_count
0,---kPU91CF4Lq2-WlRu9Lw,Seafood,4.5,New Port Richey,Frankie's Raw Bar,24
1,--lqIzK-ZVTtgwiQM63XgQ,Burgers,2.0,Indianapolis,Wendy's,15
2,-0FX23yAacC4bbLaGPvyxw,American (Traditional),3.5,Newtown,The Grey Stone Fine Food and Spirits,155
3,-0__F9fnKt8uioCKztF5Ww,Cafes,4.0,New Orleans,Piscobar,66
4,-0jK77zdE3-plqXuwXtilQ,Italian,4.0,Ewing Township,Salerno's III,68
5,-0jzoPt3UeXn6FUXVQvyPg,American (New),4.5,Boise,Trillium,154
6,-0m4IwD1FIOqkA8dh4mVfQ,Mexican,2.0,Smyrna,Chipotle Mexican Grill,39
7,-1MhPXk1FglglUAmuPLIGg,Nightlife,4.0,Tucson,Red Garter Saloon,107
8,-1PvWminK3Er7fqpTjk19A,Sandwiches,4.0,West Deptford,La Sicilia Pizza,15
9,-1owBLC2h6DF5n_j77oq3g,Breakfast & Brunch,1.5,Mount Juliet,Hardee's,7
10,-1wnOZFsvsJPEXh_hWcmMA,Bars,4.5,O'Fallon,1st Street Lounge,11
11,-2CPhK6ik9ZBgFX_F-dkxQ,Sandwiches,2.0,Tampa,Subway,5
12,-2dvQxx3cYXd5XmFdDDsDA,Cafes,2.5,Tampa,illy Caffè,27
13,-2vEnMoexef2-rWy-FMWvw,Chicken Wings,4.0,Indianapolis,Wings and Seafood,34
14,-3-6BB10tIWNKGEF0Es2BA,Coffee & Tea,4.0,Tucson,The 81 Hong Kong Cafe,133
15,-3725FZiIIYdwQtM4MKEIA,Pizza,1.5,Glen Mills,Domino's Pizza,20
16,-3AooxIkg38UyUdlz5oXdw,Event Planning & Services,3.0,Santa Barbara,Chase Restaurant,436
17,-3IOd5YntpkbK6RwT3HYtA,Burgers,3.5,Pottstown,Ice House Steaks & Pizza,179
18,-4IoP43clvfZPjRlXu2LLA,Bars,2.5,New Whiteland,Whit's Inn,14
19,-4lNMmoW7gRxkH0c2dfXfA,Pizza,4.0,Edmonton,Ripe Tomato,5
20,-5Rah4ZvWsDu4oilUZxhtw,Nightlife,4.0,Philadelphia,World Cafe Live,350
21,-5UQGwUZWUhPi5pJlcwEYA,Seafood,4.0,Indianapolis,Ocean World,214
22,-6JdVK-DHB4_43PEksbg1A,American (Traditional),4.0,St. Pete Beach,Rick's Reef,560
23,-6L7ckMsebhvS_nk4wjhIA,Pizza,4.0,Barrington,Slice Pizzeria,31
24,-6kNhGurAbdNQanqbAaoMg,Pizza,3.0,Collinsville,Imo's Pizza,25
25,-6osFx4NgFRHJ5NXqpHV6g,Mexican,3.0,Nolensville,Campo Azul,64
26,-78Va3llKcPbL6SW4is8lw,Seafood,4.0,Collinsville,Mungo's Italian Eatery,124
27,-7AGjO0qnOld_GZK9dNNkQ,American (Traditional),2.0,Sicklerville,Buffalo Wild Wings,122
28,-7KnD-G4ZYi7-Xs4ZJAYWQ,Bars,3.5,Reno,Pizza Plus,127
29,-7Rx5jVeQmlVoAU_oXrzew,Burgers,1.0,Cherry Hill,McDonald's,11
30,-7UDKbg_8TL4LVuYR6Ooyw,Sandwiches,3.0,Clearwater,Subway,5
31,-7wXZWnKe26iwJY_5z_AAw,Event Planning & Services,4.0,Glen Mills,La Fava Restaurant and Bar,115
32,-81BXpO5Fuk-RqCabS7LMw,Nightlife,4.0,Clearwater,Big Storm Brewery- Clearwater,273
33,-84DrMt8DHK8S5dyvZg7tQ,Pizza,4.0,Havertown,Sam’s Boardwalk Pizza & Dairy Bar,10
34,-8oIIpYJAXWg-G3glapMmQ,Nightlife,4.5,Indianapolis,Festiva,334
35,-951Q5if-JmCQbO40meVPw,Pizza,3.0,Nashville,Sam's Pizza House,10
36,-99CauTgdResVER5NvRTfw,Pizza,1.5,Indianapolis,Domino's Pizza,32
37,-9Kxik9BRNkft5rPcVvSsw,American (Traditional),2.0,O'Fallon,Buffalo Wild Wings,115
38,-9QWlFM3KH0DBS1wiHZJXA,American (Traditional),2.5,O Fallon,Hardee's,13
39,-9rRsa_9GTkSYkPdKa7T8A,Nightlife,2.5,Woodbury Heights,Hollywood Cafe & Sports Bar,126
40,-A-5spZpPMjujSnG-Oag7w,Breakfast & Brunch,2.5,Indianapolis,Taco Bell,23
41,-ALqLSTzkGDMscHdxA1NgA,Mexican,4.5,Santa Barbara,Su Casa Fresh Mexican Grill,29
42,-ATiAtTikuGuqvaW2O6tNA,Sandwiches,3.5,Philadelphia,Marathon,593
43,-AgYybTLhispcYcoIV7E9A,Event Planning & Services,3.0,Clearwater Beach,Starlite Majesty,93
44,-B6XL-ZWsVHlAQyYcd3eEg,Nightlife,3.0,Clearwater,Joe's Crab Shack,318
45,-B7E8MFb47FoGcp25lXgxw,American (Traditional),4.0,Indianapolis,Joe's Grille,35
46,-BFrwPGCH-22kRPvFrFk4Q,Nightlife,4.0,Boise,Jumpin Janet's,52
47,-BPvsLwU9XqGRD275rEpsw,Nightlife,3.5,Boise,O'michael's Pub & Grill,23
48,-B_2jHrwV2nWNqdoWtBC8A,Breakfast & Brunch,4.5,Indianapolis,RIZE - Indianapolis,344
49,-BlhrfAM9jUF0nTMd_2FTQ,Chicken Wings,3.5,Avon,Greek's Pizzeria,26
50,-Bsw0AjWemVa8D_7g7-9Kg,Bars,2.5,Saint Louis,Bbc Asian Bar & Cafe,47
51,-C0DXAsxofWlGIcY1y-edQ,Chicken Wings,2.5,Lawnside,Church's Chicken,14
52,-CbBGlrmddJsaruk6LdI6A,Salad,4.0,Tucson,La Placita Cafe,43
53,-CiuESq1Pb0_x2TGi74oyg,Pizza,4.0,Burlington,Villa Pizza,47
54,-CvjeIt8CMUMBRnikhHCDg,Sandwiches,4.0,Clearwater,Country Skillet,104
55,-DGsnMlRrR_tv8avrpQLQw,Breakfast & Brunch,4.0,Philadelphia,Sam's Morning Glory Diner,741
