,user_id,name,review_count,average_stars
0,j14WgRoU_-2ZE1aw1dXrJg,Daniel,4333,3.74
1,NIhcRW6DWvk1JQhDhXwgOQ,Lia,2288,3.69
2,IpLRJY4CP3fXtlEd8Y4GFQ,Robyn,518,2.95
3,LwZJFLGxQwjjeOgpqTJnfw,Lucas,157,3.63
4,lquc6IF6uGIeRomDLu9UnA,Ron,1044,3.9
5,X7SwvRrnsZ8I3bEPGELpnQ,Jennifer,666,3.28
6,q7iWal_rXNSHkHeCMMvZxQ,Stephanie,500,3.95
7,K7thO1n-vZ9PFYiC7nTR2w,Yelper,1554,3.68
8,asAdx4Q3cAMykgPgtQt6cg,Sylvester,123,4.2
9,FlhZYUEhfpfm0Ynxacftwg,Kate,94,4.1
10,0G-QF457q_0Z_jKqh6xWiA,Joi,2009,4.1
11,ZhK2xIa4f73JZfua7IP8vA,Steve,690,3.64
12,ouODopBKF3AqfCkuQEnrDg,Danan,2108,3.5700000000000003
13,HzoQKKHDq9BI37dyJAAtGA,Jim,1145,3.67
14,1ziEzn7BoXTfOQ4YBkdz1Q,Christine,703,3.81
15,5HGbhAzCXDngWSTckGBtuA,Jeremy,18,3.89
16,QWxW_pApmpY9iPApC8P-UQ,Kelvin,1306,3.6
17,Z2pXm4f-2O5ZpMUmXuYK0Q,Michelle,183,3.65
18,8ZryN_S-n48g6rsa3W3QtQ,Dani,2934,3.39
19,_8fmsrxFubASqYw_SAxkgA,Ashley,71,3.99
20,LyoBey7pYHult00lhiS02g,Cassandra,178,4.03
21,JITevzyEgskIJc6sgOyEgw,Kristin Marie,645,3.89
22,hHDltEEGlvuhRjDvfbYpqg,Nadine,1228,3.54
23,KVbMZV-XJPSH9wXEwuXIaA,David S.,426,2.69
24,BgZwJBhVWKq1Urs4rKBdiA,Tres,1545,3.51
25,pPvsrGX78-vP6IctzU1-oQ,Stephen,70,3.95
26,8TYNR25ifvwrwYcyKNx1BQ,Amy,408,3.86
27,IzJ36jX6V6ky5BtoN-Agng,Chun,1861,4.34
28,O7ly1kO-eDJv9uGuyYgaIw,Andrew,177,4.12
29,VatZipEmv3Wx5iQK0QL-pA,George,593,4.07
30,ox4AXdK4C2ADe5loj66mGg,Jason,61,4.14
31,2XKlUjHGk9z-2ckFMcBEHw,Sheena,731,3.95
32,2YKkLFeOx-0zRcWp0KUv_Q,Mark,564,3.69
33,GG0mFsEXb-02_dzFPqRV1Q,Mandy,754,3.46
34,k_muz40jJaiY1PVga6NDXA,Louis,1070,3.84
35,5BpJEC8YVi80ecWT5CtlfQ,Jenny,2739,3.62
36,zHvS1F_6wOPSLUk6vpDEGA,Taylor,1171,3.64
37,WWnhqRnWWjutMqh-2SzEuQ,Steph,3960,4.23
38,ojxS1v-8nUvEEx4DlsPQrA,Kristin,655,3.69
39,HFECrzYDpgbS5EmTBtj2zQ,Eric,5887,3.94
40,v7gsMsxQrQlQ4-JCefu4gg,John,1167,4.0
41,PBA1rCTmVaI5APfQ1WgbyQ,Courtney,623,3.89
42,FlXBpK_YZxLo27jcMdII1w,Mallory,1158,4.02
43,XnWTpZeb0atyolIc5-XRUw,Mike,267,4.08
44,76ew8CgYNfC6NY2deluWsA,Austin,31,4.61
45,EiwxlbR8fb68lMgEXhcWKA,Lorrie,3113,3.82
46,Sg_BvnTHsbc1AABiJjaiPA,Vivian,1398,3.45
47,kF2sEC2B1nJlxVFr_jaEQA,Lara,198,4.15
